--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [146/5000] | C Loss: -12.0925 | G Loss: 871.9802 | Style Loss: 1.5045 | Corr Loss: 0.4305 | Time: 6.65s
Epoch [147/5000] | C Loss: -12.0323 | G Loss: 808.5964 | Style Loss: 1.3082 | Corr Loss: 0.4553 | Time: 6.63s
Epoch [148/5000] | C Loss: -12.2285 | G Loss: 819.1677 | Style Loss: 1.4008 | Corr Loss: 0.4119 | Time: 6.61s
Epoch [149/5000] | C Loss: -12.1277 | G Loss: 760.4724 | Style Loss: 1.2488 | Corr Loss: 0.4151 | Time: 6.62s
Epoch [150/5000] | C Loss: -11.9234 | G Loss: 751.8295 | Style Loss: 1.2533 | Corr Loss: 0.3976 | Time: 6.64s
Epoch [151/5000] | C Loss: -12.1938 | G Loss: 843.7833 | Style Loss: 1.4000 | Corr Loss: 0.4532 | Time: 6.62s
Epoch [152/5000] | C Loss: -12.2085 | G Loss: 857.4547 | Style Loss: 1.5073 | Corr Loss: 0.4033 | Time: 6.64s
Epoch [153/5000] | C Loss: -12.1422 | G Loss: 835.6136 | Style Loss: 1.3795 | Corr Loss: 0.4537 | Time: 6.63s
Epoch [154/5000] | C Loss: -12.1124 | G Loss: 848.9449 | Style Loss: 1.4100 | Corr Loss: 0.4543 | Time: 6.64s
Epoch [155/5000] | C Loss: -12.0902 | G Loss: 732.0161 | Style Loss: 1.1655 | Corr Loss: 0.4230 | Time: 6.65s
Epoch [156/5000] | C Loss: -12.0942 | G Loss: 858.0738 | Style Loss: 1.4809 | Corr Loss: 0.4227 | Time: 6.62s
Epoch [157/5000] | C Loss: -12.3238 | G Loss: 872.7113 | Style Loss: 1.4898 | Corr Loss: 0.4406 | Time: 6.62s
Epoch [158/5000] | C Loss: -12.0894 | G Loss: 927.9646 | Style Loss: 1.5508 | Corr Loss: 0.4920 | Time: 6.61s
Epoch [159/5000] | C Loss: -12.3002 | G Loss: 862.8992 | Style Loss: 1.4857 | Corr Loss: 0.4277 | Time: 6.58s
Epoch [160/5000] | C Loss: -12.2229 | G Loss: 862.6461 | Style Loss: 1.4646 | Corr Loss: 0.4403 | Time: 6.63s
Epoch [161/5000] | C Loss: -11.9575 | G Loss: 845.3938 | Style Loss: 1.4358 | Corr Loss: 0.4316 | Time: 6.59s
Epoch [162/5000] | C Loss: -12.2150 | G Loss: 765.6852 | Style Loss: 1.2677 | Corr Loss: 0.4105 | Time: 6.62s
Epoch [163/5000] | C Loss: -12.0241 | G Loss: 833.3287 | Style Loss: 1.4369 | Corr Loss: 0.4106 | Time: 6.59s
Epoch [164/5000] | C Loss: -12.0801 | G Loss: 916.2919 | Style Loss: 1.5616 | Corr Loss: 0.4662 | Time: 6.58s
Epoch [165/5000] | C Loss: -11.9770 | G Loss: 822.4176 | Style Loss: 1.3569 | Corr Loss: 0.4458 | Time: 6.62s
Epoch [166/5000] | C Loss: -12.0448 | G Loss: 946.1039 | Style Loss: 1.6566 | Corr Loss: 0.4519 | Time: 6.59s
Epoch [167/5000] | C Loss: -12.0479 | G Loss: 766.4893 | Style Loss: 1.2374 | Corr Loss: 0.4310 | Time: 6.62s
Epoch [168/5000] | C Loss: -12.1418 | G Loss: 841.2617 | Style Loss: 1.3691 | Corr Loss: 0.4687 | Time: 6.59s
Epoch [169/5000] | C Loss: -12.0502 | G Loss: 760.3387 | Style Loss: 1.2258 | Corr Loss: 0.4298 | Time: 6.58s
Epoch [170/5000] | C Loss: -12.1425 | G Loss: 921.7053 | Style Loss: 1.5630 | Corr Loss: 0.4731 | Time: 6.61s
Epoch [171/5000] | C Loss: -12.0122 | G Loss: 766.9042 | Style Loss: 1.2534 | Corr Loss: 0.4222 | Time: 6.65s
Epoch [172/5000] | C Loss: -12.1240 | G Loss: 802.5389 | Style Loss: 1.3047 | Corr Loss: 0.4474 | Time: 6.65s
Epoch [173/5000] | C Loss: -12.0589 | G Loss: 805.4485 | Style Loss: 1.3445 | Corr Loss: 0.4260 | Time: 6.63s
Epoch [174/5000] | C Loss: -12.1099 | G Loss: 822.6097 | Style Loss: 1.3976 | Corr Loss: 0.4192 | Time: 6.63s
Epoch [175/5000] | C Loss: -12.0899 | G Loss: 767.4371 | Style Loss: 1.2738 | Corr Loss: 0.4099 | Time: 6.66s
Epoch [176/5000] | C Loss: -11.9542 | G Loss: 792.0987 | Style Loss: 1.3299 | Corr Loss: 0.4134 | Time: 6.61s
Epoch [177/5000] | C Loss: -12.1280 | G Loss: 879.0825 | Style Loss: 1.5047 | Corr Loss: 0.4416 | Time: 6.64s
Epoch [178/5000] | C Loss: -12.1575 | G Loss: 792.5232 | Style Loss: 1.3734 | Corr Loss: 0.3851 | Time: 6.63s
Epoch [179/5000] | C Loss: -11.8392 | G Loss: 902.4792 | Style Loss: 1.5427 | Corr Loss: 0.4551 | Time: 6.64s
Epoch [180/5000] | C Loss: -12.0754 | G Loss: 747.5840 | Style Loss: 1.2786 | Corr Loss: 0.3726 | Time: 6.60s
Epoch [181/5000] | C Loss: -12.1548 | G Loss: 867.6017 | Style Loss: 1.4905 | Corr Loss: 0.4324 | Time: 6.65s
Epoch [182/5000] | C Loss: -12.1632 | G Loss: 851.4209 | Style Loss: 1.4525 | Corr Loss: 0.4297 | Time: 6.62s
Epoch [183/5000] | C Loss: -12.2008 | G Loss: 860.8896 | Style Loss: 1.4954 | Corr Loss: 0.4179 | Time: 6.64s
Epoch [184/5000] | C Loss: -12.2271 | G Loss: 881.0181 | Style Loss: 1.4754 | Corr Loss: 0.4647 | Time: 6.61s
Epoch [185/5000] | C Loss: -12.2074 | G Loss: 838.1400 | Style Loss: 1.4011 | Corr Loss: 0.4428 | Time: 6.64s
